Ticker,CIK,Sector,MarketCap_B,Status
MELI,1099590,Consumer Cyclical,94.91,Pass
GD,40533,Industrials,91.78,Pass
WM,823768,Industrials,90.72,Pass
BAESF,895564,Industrials,89.93,Pass
BAESY,895564,Industrials,89.8,Pass
PWR,1050915,Industrials,88.81,Pass
AMXOF,1129137,Communication Services,88.52,Pass
ITOCF,355363,Industrials,88.07,Pass
UPS,1090727,Industrials,88.0,Pass
IAU,1278680,Unknown,87.55,Pass
FDX,1048911,Industrials,87.07,Pass
MGCLY,2039784,Consumer Cyclical,84.65,Pass
SNPS,883241,Technology,83.99,Pass
JCI,833444,Industrials,83.98,Pass
CDNS,813672,Technology,83.96,Pass
CMI,26172,Industrials,83.16,Pass
ABNB,1559720,Consumer Cyclical,82.44,Pass
CVNA,1690820,Consumer Cyclical,81.9,Pass
REGN,872589,Healthcare,79.71,Pass
MMM,66740,Industrials,79.66,Pass
ADP,8670,Technology,79.64,Pass
AMX,1129137,Communication Services,79.09,Pass
EMR,32604,Industrials,78.95,Pass
NTTYY,769594,Communication Services,78.82,Pass
ORLY,898173,Consumer Cyclical,78.48,Pass
CSX,277948,Industrials,78.31,Pass
DASH,1792789,Consumer Cyclical,78.17,Pass
RCL,884887,Consumer Cyclical,76.99,Pass
ITW,49826,Industrials,76.2,Pass
HLT,1585689,Consumer Cyclical,75.42,Pass
NTES,1110646,Communication Services,74.53,Pass
MNST,865752,Consumer Defensive,73.3,Pass
MSI,68505,Technology,73.16,Pass
NNFSF,1834267,Consumer Defensive,73.1,Pass
CP,16875,Industrials,72.69,Pass
MDLZ,1103982,Consumer Defensive,72.62,Pass
GM,1467858,Consumer Cyclical,72.56,Pass
ROST,745732,Consumer Cyclical,72.5,Pass
BYMOF,1446250,Consumer Cyclical,72.44,Pass
TDG,1260221,Industrials,71.99,Pass
CI,1739940,Healthcare,71.76,Pass
CTAS,723254,Industrials,70.6,Pass
IFNNF,1107457,Technology,70.18,Pass
IFNNY,1107457,Technology,68.73,Pass
TEL,1385157,Technology,68.73,Pass
ELV,1156039,Healthcare,68.68,Pass
WBD,1437107,Communication Services,68.18,Pass
KDDIF,1106215,Communication Services,68.04,Pass
CNI,16868,Industrials,67.3,Pass
CIEN,936395,Technology,67.3,Pass
NKE,320187,Consumer Cyclical,67.29,Pass
CL,21665,Consumer Defensive,66.98,Pass
NET,1477333,Technology,66.92,Pass
NSC,702165,Industrials,66.86,Pass
LHX,202058,Industrials,66.48,Pass
MPWR,1280452,Technology,66.46,Pass
RSG,1060391,Industrials,65.15,Pass
PCAR,75362,Industrials,64.94,Pass
NETTF,1110646,Communication Services,64.52,Pass
RELX,929869,Industrials,63.62,Pass
RACE,1648416,Consumer Cyclical,63.42,Pass
RLXXF,929869,Industrials,63.3,Pass
CRWV,1769628,Technology,62.39,Pass
COR,1140859,Healthcare,61.78,Pass
FKURF,2043424,Industrials,61.22,Pass
CCZ,1166691,Unknown,61.13,Pass
UI,1511737,Technology,60.92,Pass
BAMXF,1446250,Consumer Cyclical,60.81,Pass
BE,1664703,Industrials,60.77,Pass
ASX,1122411,Technology,59.65,Pass
BMWKY,1446250,Consumer Cyclical,59.27,Pass
FTNT,1262039,Technology,59.22,Pass
LITE,1633978,Technology,58.83,Pass
AZO,866787,Consumer Cyclical,58.59,Pass
FIX,1035983,Industrials,58.16,Pass
INFY,1067491,Technology,57.91,Pass
COHR,820318,Technology,57.78,Pass
TER,97210,Technology,57.14,Pass
MBGAF,1067318,Consumer Cyclical,57.07,Pass
TAK,1395064,Healthcare,56.39,Pass
BDX,10795,Healthcare,56.34,Pass
NOKBF,924613,Technology,55.83,Pass
KEYS,1601046,Technology,55.79,Pass
NOK,924613,Technology,55.77,Pass
TGT,27419,Consumer Defensive,55.64,Pass
FREJO,1026214,Unknown,55.57,Pass
ORANY,1038143,Communication Services,55.04,Pass
TKPHF,1395064,Healthcare,54.8,Pass
BECEF,718940,Communication Services,54.51,Pass
GWW,277135,Industrials,54.16,Pass
FNCTF,1038143,Communication Services,53.82,Pass
SE,1703399,Consumer Cyclical,53.48,Pass
NXPI,1413447,Technology,52.91,Pass
AME,1037868,Industrials,52.71,Pass
ARGX,1697862,Healthcare,52.55,Pass
AED,2057673,Unknown,52.17,Pass
DISPF,1671750,Technology,52.06,Pass
FERG,2011641,Industrials,51.63,Pass
GRMN,1121788,Technology,51.17,Pass
FER,1468522,Industrials,51.16,Pass
FAST,815556,Industrials,50.99,Pass
F,37996,Consumer Cyclical,50.98,Pass
ZTS,1555280,Healthcare,50.98,Pass
EA,712515,Communication Services,50.86,Pass
ADSK,769397,Technology,50.74,Pass
SNOW,1640147,Technology,49.95,Pass
CAH,721371,Healthcare,49.85,Pass
CSLLY,1274152,Healthcare,49.42,Pass
CMXHF,1274152,Healthcare,49.1,Pass
CARR,1783180,Industrials,48.94,Pass
ABEV,1565025,Consumer Defensive,48.82,Pass
GDERF,2021390,Healthcare,48.67,Pass
URI,1067701,Industrials,48.21,Pass
ANNSF,1700171,Industrials,47.6,Pass
DAL,27904,Industrials,47.3,Pass
GALDY,2021390,Healthcare,47.15,Pass
CMG,1058090,Consumer Cyclical,46.61,Pass
IDXX,874716,Healthcare,46.24,Pass
SWZCF,1069336,Communication Services,46.23,Pass
JD,1549802,Consumer Cyclical,45.53,Pass
EW,1099800,Healthcare,45.42,Pass
JDCMF,1549802,Consumer Cyclical,45.34,Pass
EBAY,1065088,Consumer Cyclical,45.2,Pass
CODGF,1012037,Industrials,45.04,Pass
YUM,1041061,Consumer Cyclical,44.77,Pass
TEVJF,818686,Healthcare,44.72,Pass
ROK,1024478,Industrials,44.68,Pass
ALNY,1178670,Healthcare,44.48,Pass
DEO,835403,Consumer Defensive,44.28,Pass
DGEAF,835403,Consumer Defensive,44.25,Pass
CLS,1030894,Technology,43.95,Pass
WAB,943452,Industrials,43.89,Pass
SCMWY,1069336,Communication Services,43.85,Pass
HLN,1900304,Healthcare,43.02,Pass
ODFL,878927,Industrials,42.9,Pass
DDOG,1561550,Technology,42.84,Pass
CCEP,1650107,Consumer Defensive,42.84,Pass
RBLX,1315098,Communication Services,42.37,Pass
HLNCF,1900304,Healthcare,42.3,Pass
NBIS,1513845,Communication Services,42.2,Pass
KR,56873,Consumer Defensive,42.17,Pass
TYHOY,2018139,Industrials,42.15,Pass
DHI,882184,Consumer Cyclical,41.98,Pass
ESLT,1027664,Industrials,41.85,Pass
XYZ,1512673,Technology,41.3,Pass
TRI,1075124,Industrials,41.03,Pass
